#l;m;n;k;Gflops
1;12544;64;147;1.60e+01
4;3136;64;64;1.87e+01
7;3136;64;576;1.84e+01
10;3136;256;64;2.37e+01
16;3136;64;256;1.95e+01
36;3136;128;256;2.35e+01
39;784;128;1152;2.26e+01
42;784;512;128;2.57e+01
44;784;512;256;2.65e+01
48;784;128;512;2.28e+01
78;784;256;512;2.47e+01
81;196;256;2304;2.25e+01
84;196;1024;256;2.49e+01
86;196;1024;512;2.49e+01
90;196;256;1024;2.28e+01
140;196;512;1024;2.43e+01
143;49;512;4608;1.68e+01
146;49;2048;512;1.73e+01
148;49;2048;1024;1.72e+01
152;49;512;2048;6.60e+00
